날짜, 1시 , 2시 , 3시 , 4시 , 5시 , 6시 , 7시 , 8시 , 9시 , 10시 , 11시 , 12시 , 13시 , 14시 , 15시 , 16시 , 17시 , 18시 , 19시 , 20시 , 21시 , 22시 , 23시 , 24시 
2023-12-01,1166.3,1155.5,1154.6,1170.3,1167,1193.3,1186.2,1218.1,1261.2,1287.4,1300.6,1245.2,1266.1,1278,1247.7,1239.7,1223,1209.8,1277.9,1298.5,1257.2,1230.3,1221.5,1214.3
2023-12-02,1184.9,1173.9,1169,1154.1,1139,1144.4,1134.9,1136.3,1151.1,1194,1211.2,1223.9,1247.2,1196.8,1176.4,1137.6,1135.3,1128.1,1146,1154,1158.8,1152.2,1118.3,1161.9
2023-12-03,1164.4,1151.1,1149.4,1160.3,1175.5,1188.3,1183.5,1151.6,1117.7,1127.6,1195.5,1309,1342.3,1336.6,1287.8,1280.6,1210.1,1177.1,1185.4,1191.1,1181.8,1174.5,1169.4,1168.6
2023-12-04,1149,1145.8,1154.7,1158.2,1163.9,1167.1,1147.4,1138.6,1182.8,1271.5,1342.4,1369.6,1353,1291.6,1253.4,1224.5,1168.9,1146.2,1141.8,1122.9,1121,1118.4,1119.8,1132.1
2023-12-05,1126.9,1134.5,1132.1,1130.9,1138,1152.3,1159.3,1171.1,1204.8,1296,1379.1,1416.3,1424.2,1413.8,1375.3,1296.5,1199.9,1173.5,1187,1178.2,1147.7,1127.2,1119.6,1120.5
2023-12-06,1120.5,1120.6,1117.6,1117,1122.3,1123.1,1129.6,1129,1149.6,1245.3,1347,1363,1407.1,1365.1,1300.8,1263,1269.6,1275,1312.1,1375.8,1362.3,1303.8,1290.2,1274.7
2023-12-07,1186.4,1278.4,1293.6,1284.7,1295.9,1288.9,1273.7,1236.2,1222.2,1307.1,1374.2,1403.5,1409.2,1393,1345.3,1272.7,1179.8,1158.2,1163,1159.1,1153,1155.5,1174.8,1210.8
2023-12-08,1218.5,1228.3,1227.3,1227.9,1242.5,1286.5,1280.6,1267.5,1279.4,1365.2,1391.9,1431.5,1433.7,1422.5,1425.2,1372.9,1272.1,1233.3,1240.4,1259.9,1231.4,1211.5,1211.5,1198.5
2023-12-09,1170.8,1145.7,1117.9,1146.9,1130.9,1130.9,1086.9,1106.4,1161.3,1211.7,1266.1,1274.9,1315.2,1303.8,1251.4,1208.3,1148.8,1120.6,1144.7,1153.7,1141.7,1131.3,1139.7,1142.4
2023-12-10,1131.3,1129.9,1136.6,1133.6,1138.8,1147.9,1150,1146.6,1175.4,1211.9,1235.7,1301.8,1297.5,1273.6,1224.2,1144.8,1124.4,1143.8,1157.2,1149.1,1140.2,1146.7,1153.3,1143.2
2023-12-11,1148.9,1146.4,1161.5,1184.9,1175.4,1216.5,1228.7,1238.5,1275.2,1287.8,1299.8,1282.4,1248.6,1203.9,1204.1,1221.6,1219.9,1217.8,1222.8,1240.4,1278.8,1323.8,1343.6,1336.8
2023-12-12,1351.5,1352.2,1333.6,1313.2,1322.2,1320.2,1301.5,1272,1284.4,1271.6,1316.6,1335.8,1356,1381.2,1353.8,1339.8,1278.6,1238.6,1235.7,1205.4,1156.3,1147.4,1141.9,1140
2023-12-13,1130.6,1134.5,1129.7,1131.7,1135,1140.2,1147.4,1138.6,1138.9,1174.4,1193.2,1252.8,1309.2,1327.8,1285.1,1263.6,1154.5,1142.9,1178.9,1179.4,1192.8,1182.9,1163,1157.3
2023-12-14,1153.3,1139.7,1132.6,1129.3,1133.3,1158.5,1158.1,1158.6,1162,1159.6,1201.4,1175.2,1134.7,1149.2,1205.5,1238.5,1250.3,1217,1211.9,1194.2,1181.1,1209,1224.5,1220.5
2023-12-15,1221.5,1222.7,1222.9,1235.7,1244.4,1266.3,1253.3,1254.2,1285,1310.7,1312.3,1273,1247.4,1293,1368.3,1384.8,1337.4,1340.8,1370.3,1402.2,1372.8,1381.8,1353.2,1368.2
2023-12-16,1354.1,1364.9,1380.7,1385.8,1390.1,1375.4,1349.6,1389.1,1378.1,1372,1408.6,1410.1,1407.1,1411.7,1386.1,1379.7,1359.7,1354.1,1355.8,1365.2,1346.6,1329.5,1343.7,1326.4
2023-12-17,1304.7,1322.4,1316,1321.9,1328.8,1346.6,1328.7,1327,1299.5,1286.6,1277.7,1272.8,1285.1,1307.2,1270.1,1268,1244.5,1232.6,1264.5,1269.2,1258.2,1224.4,1206.2,1185.2
2023-12-18,1190.9,1200.9,1193.6,1185.9,1180.2,1207.8,1204,1179.5,1194.7,1210.6,1259.5,1290.3,1284.1,1219.8,1222.8,1213.5,1202.6,1197.2,1217.6,1233.6,1231.3,1231.4,1221.1,1209.1
2023-12-19,1200.8,1193.8,1195,1197.1,1195.1,1188.6,1184.6,1176.6,1188.2,1261.7,1235.8,1226.1,1241.5,1262.2,1278.8,1277.5,1263,1248.6,1280.1,1318.6,1332.4,1305.8,1283.7,1281.7
2023-12-20,1292.2,1296.7,1318.7,1319.9,1324.3,1380.1,1365.2,1338.2,1366.9,1411.3,1456,1494.6,1505.5,1541.7,1450,1415.7,1375.5,1358.4,1405.6,1367.3,1350.3,1327.7,1321,1310.1
